Date,OP_Price,AVPI,PR,LAR,Votable Supply,Circulating Supply,OP_Price_Scaled,AVPI_Scaled,PR_Scaled,LAR_Scaled,F,IVS,IVS/VS
2025-07-31,4.075950074737247,0.4149096,0.0768448327451643,0.3736795,144964862.92163867,1886462078.7499995,0.7204694598823187,0.2981662086933144,0.5400456530467337,0.7066306451852273,0.90578,257558821.75,1.78
2025-08-01,4.162919540048316,0.41645774,0.0743094817553144,0.33993003,144902317.8100342,1949984233.3333328,0.7420575221018855,0.3001013786387879,0.4726011273492809,0.6380059110900053,0.902429,256224591.9,1.77
2025-08-02,4.317415955218946,0.42477542,0.0742669680503267,0.31373867,144819416.75560746,1949984233.3333328,0.7804075132335331,0.3104984514823715,0.4714701925477422,0.5847495157868423,0.884966,249823781.25,1.73
2025-08-03,4.127382114824767,0.4149132,0.0742325892646784,0.27604318,144752378.66563228,1949984233.3333328,0.7332362174738172,0.2981707086815608,0.470555660042623,0.5081011127796512,0.876533,246757847.82,1.7
2025-08-04,4.05060417034748,0.40710986,0.0742097049058427,0.22205031,144707754.52671263,1949984233.3333328,0.7141779533286059,0.2884165591587071,0.4699468982838986,0.3983143117783941,0.855557,239533794.44,1.66
2025-08-05,3.968325197031352,0.39858693,0.0741998614966997,0.2600048,144688560.03408146,1949984233.3333328,0.6937541920813972,0.2777629244852447,0.4696850473356264,0.4754893543485372,0.874957,246102803.16,1.7
2025-08-06,3.8659795569592745,0.38838223,0.0742026985302266,0.39802086,144694092.20472834,1949984233.3333328,0.6683493670905253,0.265007082802598,0.4697605171153038,0.7561253293244472,0.939321,269710271.37,1.86
2025-08-07,4.15824902696466,0.40146136,0.0742168575741637,0.45901302,144721702.1171649,1949984233.3333328,0.7408981804101018,0.2813559526005104,0.4701371710801751,0.8801441883433665,0.952619,274982576.5,1.9
2025-08-08,4.2606604204156495,0.41045845,0.0742404995202212,0.42764094,144767803.5392223,1949984233.3333328,0.7663193270838773,0.2926022857258863,0.4707660859108225,0.8163535377638452,0.934989,268172754.83,1.85
2025-08-09,4.059571413845438,0.40163606,0.0742716755405803,0.3751076,144828596.28738064,1949984233.3333328,0.7164038542224369,0.2815743270301318,0.4715954195670584,0.7095344828680528,0.920872,262913256.31,1.82
2025-08-10,4.185652000523934,0.4070491,0.0743085622011694,0.36205617,144900524.69394973,1949984233.3333328,0.7477003045358834,0.2883406093570826,0.4725766656895693,0.6829962612807982,0.909386,258768808.77,1.79
2025-08-11,4.544464901578921,0.43067014,0.0743495084843191,0.36632216,144980369.30050528,1949984233.3333328,0.8367669120567247,0.3178668322366839,0.473665904480238,0.6916705435555384,0.896909,254362502.88,1.75
2025-08-12,4.722091332269978,0.4504085,0.0743930984856357,0.32565022,145065369.11580357,1949984233.3333328,0.8808583690282334,0.3425397177928577,0.474825470542578,0.60896995395704,0.87387,246366868.93,1.7
2025-08-13,4.423692888657141,0.44247094,0.0744381357397828,0.30053186,145153191.05130294,1949984233.3333328,0.8067881865349305,0.3326177937082193,0.4760235359216229,0.5578953511289642,0.875859,247206557.49,1.7
2025-08-14,4.272190781203128,0.4344943,0.0744836484452207,0.26426274,145241940.10932326,1949984233.3333328,0.7691814597324318,0.3226470197511734,0.4772342490906303,0.4841472680963207,0.865946,243938047.4,1.68
2025-08-15,4.444852073093479,0.44412103,0.0745288737899883,0.23588231,145330128.8185672,1949984233.3333328,0.8120404413176079,0.334680400820836,0.4784373179909784,0.4264397111403726,0.846719,237618269.75,1.64
2025-08-16,4.3194755533645655,0.440407,0.0745732109290477,0.3169732,145416585.5406841,1949984233.3333328,0.7809187585626367,0.3300378754467827,0.4796167591518332,0.5913264712523065,0.886904,251541338.04,1.73
2025-08-17,4.367481083717926,0.44363856,0.0746162157595447,0.4464461,145500444.28211048,1949984233.3333328,0.7928349681477467,0.3340773148960536,0.4807607587034461,0.8545911487431616,0.940764,271776929.41,1.87
2025-08-18,4.48766839736261,0.45316055,0.0746575225497172,0.43730336,145580991.8716764,1949984233.3333328,0.8226685562431058,0.3459797713076821,0.4818595875766167,0.8360006908366595,0.931959,268508695.0,1.84
2025-08-19,4.322767774467178,0.44747874,0.0746969223099867,0.40155327,145657820.782999,1949984233.3333328,0.7817359726704798,0.3388775273582393,0.4829076863032262,0.7633079812880279,0.92377,265516716.47,1.82
2025-08-20,4.283738591925779,0.4451423,0.0747342687476483,0.35919094,145730645.7476103,1949984233.3333328,0.7720479239045261,0.3359569849864887,0.4839011632555927,0.6771702246979524,0.906766,259282723.47,1.78
2025-08-21,3.754820435136848,0.41195077,0.0747694260194761,0.37686798,145799201.87336153,1949984233.3333328,0.640756808833535,0.2944676808536067,0.4848364047794431,0.7131139645430702,0.936267,270579650.33,1.86
2025-08-22,3.5640572380319657,0.38970008,0.0748024150244279,0.33868077,145863529.91289088,1949984233.3333328,0.5934044679449959,0.2666543909999459,0.4857139668215873,0.6354657190420769,0.92551,266554682.95,1.83
