Date,Votable Supply,Circulating Supply
2024-05-13,89525380.25,1045379867.0
2024-05-14,89510478.93,1045379867.0
2024-05-15,89685404.96,1045379867.0
2024-05-16,89710708.21,1045379867.0
2024-05-17,90081005.12,1045379867.0
2024-05-18,90167531.58,1086889963.0
2024-05-19,90151378.06,1086889963.0
2024-05-20,90115137.82,1086889963.0
2024-05-21,90260120.84,1086889963.0
2024-05-22,92102246.58,1086889963.0
2024-05-23,92127087.04,1086889963.0
2024-05-24,92162616.87,1086889963.0
2024-05-25,92208691.7,1086889963.0
2024-05-26,92203522.21,1086889963.0
2024-05-27,92292869.57,1086889963.0
2024-05-28,91509627.27,1086889963.0
2024-05-29,91487195.13,1086889963.0
2024-05-30,91506397.84,1086889963.0
2024-05-31,91617738.87,1086889963.0
