Date,OP_Price
2023-11-19,1.737467009
2023-11-20,1.788331095
2023-11-21,1.727901923
2023-11-22,1.598453332
2023-11-23,1.734875057
2023-11-24,1.818573864
2023-11-25,1.798012892
2023-11-26,1.782407632
2023-11-27,1.814648941
2023-11-28,1.728462034
2023-11-29,1.714457922
2023-11-30,1.68580343
2023-12-01,1.670939778
2023-12-02,1.65707381
2023-12-03,1.760207725
2023-12-04,1.719741023
2023-12-05,1.79032647
2023-12-06,1.800778154
2023-12-07,1.712826843
2023-12-08,2.17804963
2023-12-09,2.119848479
2023-12-10,2.033932266
2023-12-11,2.169642979
2023-12-12,2.288199608
2023-12-13,2.338079738
2023-12-14,2.236857993
2023-12-15,2.258742575
2023-12-16,2.093693816
2023-12-17,2.180534896
2023-12-18,2.084722368
2023-12-19,2.231617724
2023-12-20,2.109474119
2023-12-21,2.242226632
2023-12-22,2.518230752
2023-12-23,3.509716392
2023-12-24,3.41863373
2023-12-25,3.588720766
2023-12-26,3.382066719
2023-12-27,3.480381226
2023-12-28,3.960804643
2023-12-29,3.594457545
2023-12-30,3.908365871
2023-12-31,3.615758367
2024-01-01,3.700179943
2024-01-02,3.99380792
2024-01-03,3.71737979
2024-01-04,3.464678433
2024-01-05,3.712274167
2024-01-06,3.417755667
2024-01-07,3.234773639
2024-01-08,3.174226995
2024-01-09,3.416112238
2024-01-10,3.59473929
2024-01-11,3.950375015
2024-01-12,3.979139222
2024-01-13,3.930769871
2024-01-14,3.817680149
2024-01-15,3.469544839
2024-01-16,3.451304258
2024-01-17,3.604545329
2024-01-18,3.449307555
2024-01-19,3.211256296
2024-01-20,3.197700323
2024-01-21,3.179378433
2024-01-22,3.117681699
2024-01-23,2.970372738
2024-01-24,2.815335671
2024-01-25,2.861549357
2024-01-26,2.933386389
2024-01-27,3.06979297
2024-01-28,3.068764187
2024-01-29,3.028863016
2024-01-30,3.163397651
2024-01-31,3.158656193
2024-02-01,2.900273539
2024-02-02,2.972406153
2024-02-03,3.009538587
2024-02-04,2.957697731
2024-02-05,2.9978996
2024-02-06,3.091170264
2024-02-07,3.32234461
2024-02-08,3.365872481
2024-02-09,3.306629628
2024-02-10,3.464895395
2024-02-11,3.362656387
2024-02-12,3.527182521
2024-02-13,3.827303335
2024-02-14,3.739161828
2024-02-15,3.815791962
